system:index,AOT,B11,B12,B5,B6,B7,B8,Blue,Green,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,Red,SCL,SR_B1,SR_B11,SR_B12,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_B8,SR_B8A,SR_B9,TCI_B,TCI_G,TCI_R,WVP,cirrus,class,date,mission,opaque_cloud,system:time_start,vol_init,.geo
00000000000000000322,105,56,53,0.0111,0.0107,0.0099,0.0084,0.0286,0.0217,0,0,0,0,0,0.011,6,0.0252,0.0056,0.0053,0.0286,0.0217,0.011,0.0111,0.0107,0.0099,0.0084,0.009,0.0067,29,23,12,2074,0,openWater,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.7150223405296,46.84558553629366]}"
00000000000000000323,105,45,38,0.0099,0.0095,0.0096,0.008,0.0277,0.0192,0,0,0,0,0,0.0106,6,0.025,0.0045,0.0038,0.0277,0.0192,0.0106,0.0099,0.0095,0.0096,0.008,0.0093,0.007,29,20,12,2074,0,openWater,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.79673090823296,46.83267197964288]}"
00000000000000000324,102,56,45,0.01135,0.01,0.01065,0.0086,0.0301,0.0213,0,0,0,0,0,0.0115,6,0.0262,0.0056,0.0045,0.0301,0.0213,0.0115,0.01135,0.01,0.01065,0.0086,0.00925,0.0075,31.5,22,12,2073,0,openWater,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.69819815225495,46.88338087682267]}"
00000000000000000325,96.25,55,54.5,0.01115,0.01145,0.01065,0.00885,0.03195,0.02245,0,0,0,0,0,0.01285,6,0.028925,0.0055,0.00545,0.031925,0.022425,0.01285,0.011175,0.01145,0.010625,0.008875,0.009375,0.007775,33,23,13.5,2162.75,0,openWater,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.62060533482394,46.89065367064084]}"
00000000000000000326,105,42,33,0.0101,0.0115,0.0118,0.0088,0.0297,0.0203,0,0,0,0,0,0.0112,6,0.0261,0.0042,0.0033,0.0297,0.0203,0.0112,0.0101,0.0115,0.0118,0.0088,0.0083,0.0103,31,21,13,2074,0,openWater,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.92146088289994,46.80051294284543]}"
00000000000000000327,90.5,42,32,0.01215,0.01085,0.00975,0.00855,0.0307,0.0231,0,0,0,0,0,0.0123,6,0.0335,0.0042,0.0032,0.0307,0.0231,0.0123,0.01215,0.01085,0.00975,0.00855,0.00805,0.00735,31.5,24,13,2252.5,0,openWater,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.46093384430215,46.93499943061735]}"
00000000000000000328,90.5,37,32,0.01035,0.0098,0.0088,0.0083,0.02895,0.02155,0,0,0,0,0,0.0114,6,0.0301,0.0037,0.0032,0.02895,0.02155,0.0114,0.01035,0.0098,0.0088,0.0083,0.0072,0.0062,30,22.5,12,2252.5,0,openWater,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.38677453468229,46.91999455557251]}"
00000000000000000329,88,40,38,0.0122,0.0107,0.0099,0.0096,0.0322,0.0241,0,0,0,0,0,0.0129,6,0.0339,0.004,0.0038,0.0322,0.0241,0.0129,0.0122,0.0107,0.0099,0.0096,0.0083,0.007,33,25,14,2326,0,openWater,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.38780458702564,46.960313747297775]}"
0000000000000000032a,88,60,50,0.0142,0.0119,0.0125,0.0102,0.0355,0.025,0,0,0,0,0,0.0152,6,0.0376,0.006,0.005,0.0355,0.025,0.0152,0.0142,0.0119,0.0125,0.0102,0.0089,0.0065,37,26,16,2326,0,openWater,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.2442304513068,47.09842548422615]}"
0000000000000000032b,88,84,54,0.0159,0.0124,0.0134,0.0109,0.0348,0.0248,0,0,0,0,0,0.0153,6,0.0334,0.0084,0.0054,0.0348,0.0248,0.0153,0.0159,0.0124,0.0134,0.0109,0.0124,0.0099,36,26,16,2326,0,openWater,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.04544818544524,47.11571787811141]}"
0000000000000000032c,93,107,99,0.0158,0.0152,0.0156,0.0134,0.0317,0.0234,0,0,0,0,0,0.0168,6,0.0299,0.0107,0.0099,0.0317,0.0234,0.0168,0.0158,0.0152,0.0156,0.0134,0.0134,0.0132,33,24,18,2179,0,openWater,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.40838087704047,46.713765590951695]}"
0000000000000000032d,93,98,99,0.0154,0.0146,0.0152,0.013,0.0315,0.0232,0,0,0,0,0,0.0157,6,0.0306,0.0105,0.0085,0.0322,0.0231,0.0155,0.0154,0.0146,0.0148,0.012,0.0132,0.0115,33,24,16,2179,0,openWater,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.40357396610486,46.76882211165859]}"
0000000000000000032e,93,93,70,0.0152,0.0136,0.0127,0.0121,0.0341,0.0245,0,0,0,0,0,0.0164,6,0.0351,0.0093,0.007,0.0341,0.0245,0.0164,0.0152,0.0136,0.0127,0.0121,0.0126,0.0106,35,25,17,2106,0,openWater,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.2226459408613,46.76764490898048]}"
0000000000000000032f,93,92,91,0.0162,0.0147,0.0139,0.0129,0.0341,0.0259,0,0,0,0,0,0.0162,6,0.0356,0.0092,0.0091,0.0341,0.0259,0.0162,0.0162,0.0147,0.0139,0.0129,0.0129,0.0131,35,27,17,2106,0,openWater,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.23843561769154,46.69823008288149]}"
