system:index,B11,B12,B5,B6,B7,B8,Blue,Green,QA_PIXEL,QA_RADSAT,Red,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_QA_AEROSOL,ST_ATRAN,ST_B10,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,cirrus_conf,class,date,high_conf_cirrus,mission,system:time_start,vol_init,.geo,SR_ATMOS_OPACITY,SR_CLOUD_QA,ST_B6,AOT,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,SR_B11,SR_B12,SR_B8,SR_B8A,SR_B9,TCI_B,TCI_G,TCI_R,WVP,cirrus,opaque_cloud
00000000000000001b53,NA,NA,0.05455374999999998,0.01979375,0.01704374999999999,NA,0.05951749999999997,0.10274750000000002,21952,0,0.1477925,0.04891624999999999,0.05951749999999997,0.10274750000000002,0.1477925,0.05455374999999998,0.01979375,0.01704374999999999,160,6982,293.07125201,43,1044,9915,46,419,8214,2201,1,lightNearShoreSediment,2022-07-24,0,LS9,2022-07-24T00:00:00Z,MRB,"{""type"":""Point"",""coordinates"":[-91.79762718754469,46.693659504301706]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00000000000000001b54,NA,NA,0.05090999999999998,0.01535249999999999,0.01115874999999999,NA,0.06126375,0.10595125,21952,0,0.15439250000000002,0.05125375000000001,0.06126375,0.10595125,0.15439250000000002,0.05090999999999998,0.01535249999999999,0.01115874999999999,160,6982,292.81490051,42.5,1044,9915,57,424.5,8190,2201,1,lightNearShoreSediment,2022-07-24,0,LS9,2022-07-24T00:00:00Z,MRB,"{""type"":""Point"",""coordinates"":[-91.79803296574055,46.69364612699855]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00000000000000001b55,NA,NA,0.04617999999999999,0.02193874999999999,0.01330374999999999,NA,0.06162125000000001,0.1034075,21952,0,0.14846625000000002,0.052065,0.06162125000000001,0.1034075,0.14846625000000002,0.04617999999999998,0.02193874999999999,0.01330374999999999,128,6983,292.61836436,41.5,1043,9915,57,429.5,8171.5,2200,1,lightNearShoreSediment,2022-07-24,0,LS9,2022-07-24T00:00:00Z,MRB,"{""type"":""Point"",""coordinates"":[-91.79874196280807,46.693659504301706]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00000000000000001b56,NA,NA,0.02577500000000001,0.01909249999999998,0.01504999999999999,NA,0.04265999999999999,0.07357,21952,0,0.08507874999999998,0.03439624999999999,0.042659999999999997,0.07357,0.08507874999999998,0.025775,0.01909249999999998,0.01504999999999999,160,6982,291.80829362,40.5,1044,9915,77,436.5,8096,2201,1,lightNearShoreSediment,2022-07-24,0,LS9,2022-07-24T00:00:00Z,MRB,"{""type"":""Point"",""coordinates"":[-91.79857251696802,46.694216891933394]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00000000000000001b57,NA,NA,0.02372624999999999,0.017085,0.01485749999999999,NA,0.0399925,0.070435,21952,0,0.07909749999999999,0.03238874999999999,0.0399925,0.070435,0.07909749999999999,0.02372624999999999,0.017085,0.01485749999999999,160,6982,291.51263488999996,39.5,1044,9915,34,440.5,8068.5,2201,1,lightNearShoreSediment,2022-07-24,0,LS9,2022-07-24T00:00:00Z,MRB,"{""type"":""Point"",""coordinates"":[-91.79947325538082,46.69413216901338]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00000000000000001b58,NA,NA,0.535185,0.50090625,0.45747,NA,0.45872125,0.46539,22280,0,0.471,0.4494675,0.45872125,0.46539,0.471,0.535185,0.50090625,0.45747,128,6945,278.3378768,0,1050,9880,0,694,6897,2216,1,cloud,2022-07-24,0,LS9,2022-07-24T00:00:00Z,MRB,"{""type"":""Point"",""coordinates"":[-91.77758352830945,46.942758266450355]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00000000000000001b59,NA,NA,0.41413,0.3973825,0.37030875,NA,0.32591,0.34852875,22280,0,0.342135,0.3164775,0.32591,0.34852875,0.342135,0.41413,0.3973825,0.37030875,96,6946,278.47972462999996,0,1050,9880,0,693,6909,2216,1,cloud,2022-07-24,0,LS9,2022-07-24T00:00:00Z,MRB,"{""type"":""Point"",""coordinates"":[-91.77529155036798,46.94201359657443]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00000000000000001b5a,NA,NA,0.2665925,0.28547125,0.3012975,NA,0.1679775,0.20825125,22280,0,0.2086775,0.16419625000000002,0.1679775,0.20825125,0.2086775,0.2665925,0.28547125,0.3012975,224,6947,278.78051039,0,1050,9880,0,692,6934,2215,1,cloud,2022-07-24,0,LS9,2022-07-24T00:00:00Z,MRB,"{""type"":""Point"",""coordinates"":[-91.7697533468596,46.939186526506546]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00000000000000001b5b,NA,NA,0.1081375,0.12549,0.11348625,NA,-0.02419250000000001,0.06127750000000001,22280,0,0.04949374999999999,-0.07153375000000001,-0.0241925,0.06127750000000001,0.04949374999999999,0.1081375,0.12549,0.11348625,224,6946,278.56859314999997,0,1050,9880,0,693,6916,2216,1,cloud,2022-07-24,0,LS9,2022-07-24T00:00:00Z,MRB,"{""type"":""Point"",""coordinates"":[-91.78074057185529,46.93968594582453]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00000000000000001b5c,NA,NA,0.265245,0.2816075,0.269865,NA,0.15486,0.19246625,22280,0,0.19906625,0.15145,0.15486,0.19246625,0.19906625,0.265245,0.2816075,0.269865,224,6946,278.29344254,0,1050,9880,0,694,6894,2216,1,cloud,2022-07-24,0,LS9,2022-07-24T00:00:00Z,MRB,"{""type"":""Point"",""coordinates"":[-91.78119094106168,46.9382902471948]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
