date,mission,class,vol_init,user_label_id,B1,B2,B3,B4,B5,B7,SR_ATMOS_OPACITY,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,SR_CLOUD_QA,ST_ATRAN,ST_B6,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,QA_PIXEL,QA_RADSAT,system:index,system:time_start,.geo,CLOUD_COVER,IMAGE_QUALITY,DATA_SOURCE_AIR_TEMPERATURE,DATA_SOURCE_ELEVATION,DATA_SOURCE_OZONE,DATA_SOURCE_PRESSURE,DATA_SOURCE_REANALYSIS,DATA_SOURCE_WATER_VAPOR,SENSOR_MODE_SLC,SR_CLOUD_QA_binary,QA_PIXEL_binary,QA_RADSAT_binary
2002-09-03,LANDSAT_7,openWater,AMP,1,0.011,0.013,0.005,0.004,0.001,-0.001,0.0124,0.011,0.013,0.005,0.004,0.001,-0.001,32,7957,282.88042538,1094,740,9880,0,207,7181,1495,5504,0,00000000000000000079,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.4657853462483,47.00954668202887]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,openWater,AMP,2,0.014,0.01,0.003,0.004,0.001,0.002,0.0122,0.014,0.01,0.003,0.004,0.001,0.002,32,7967,283.28033372,1366,736,9880,0,193,7218,1488,5504,0,0000000000000000007a,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.39025263350398,47.016333433832216]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,openWater,AMP,3,0.014,0.013,0.003,0.005,0.004,0.002,0.012,0.014,0.013,0.003,0.005,0.004,0.002,32,7981,283.68024205999996,1675,732,9880,0,178,7255,1478,5504,0,0000000000000000007b,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.32296033950642,47.01422873813498]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,openWater,AMP,4,0.015,0.015,0.007,0.006,0.007,0.002,0.0082,0.015,0.015,0.007,0.006,0.007,0.002,32,8001,283.67682404,2087,725,9880,0,160,7255,1464,5504,0,0000000000000000007c,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.25635920617216,47.006973780721026]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,openWater,AMP,5,0.021,0.015,0.005,0.006,0.002,0.002,0.008,0.021,0.015,0.005,0.006,0.002,0.002,32,8011,283.28375173999996,2400,722,9880,0,147,7218,1457,5504,0,0000000000000000007d,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.21618716478167,46.99573238696529]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,lightNearShoreSediment,AMP,6,0.043,0.086,0.14,0.081,0.007,0.008,0.0108,0.043,0.086,0.14,0.081,0.007,0.008,32,8060,288.79018196,1924,705,9876,50,171,7739,1416,5504,0,0000000000000000007e,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.70824004782732,46.72048545623924]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,lightNearShoreSediment,AMP,7,0.043,0.084,0.136,0.072,0.007,0.005,0.0108,0.043,0.084,0.136,0.072,0.007,0.005,32,8060,288.03138151999997,1930,706,9876,76,174.5,7665,1416,5504,0,0000000000000000007f,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.7053193366373,46.72154672228996]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,lightNearShoreSediment,AMP,8,0.045,0.082,0.13,0.063,0.004,-0.001,0.0108,0.045,0.082,0.13,0.063,0.004,-0.001,32,8059,287.83997239999997,1940.5,706,9876,40,170,7646,1417,5504,0,00000000000000000080,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.70119912726392,46.72295579822285]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,lightNearShoreSediment,AMP,9,0.039,0.082,0.123,0.063,0.004,0.002,0.0108,0.039,0.082,0.123,0.063,0.004,0.002,32,8059,288.22108162999996,1947,706,9876,57,171.5,7683.5,1417,5504,0,00000000000000000081,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.698452321015,46.7235443995619]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,lightNearShoreSediment,AMP,10,0.043,0.081,0.131,0.059,0.007,0.002,0.01095,0.043,0.081,0.131,0.059,0.007,0.002,32,8061,288.03138151999997,1912,705,9876,73,174,7665,1416,5504,0,00000000000000000082,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.71458980772742,46.719192316933736]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
