date,mission,class,vol_init,user_label_id,B2,B3,B4,B5,B6,B7,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_QA_AEROSOL,ST_ATRAN,ST_B10,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,cirrus_conf,high_conf_cirrus,QA_PIXEL,QA_RADSAT,system:index,B11,B12,B8,system:time_start,.geo,CLOUD_COVER,IMAGE_QUALITY_OLI,IMAGE_QUALITY_TIRS,DATA_SOURCE_AIR_TEMPERATURE,DATA_SOURCE_ELEVATION,DATA_SOURCE_OZONE,DATA_SOURCE_PRESSURE,DATA_SOURCE_REANALYSIS,DATA_SOURCE_TIRS_STRAY_LIGHT_CORRECTION,DATA_SOURCE_WATER_VAPOR,NADIR_OFFNADIR,SR_QA_AEROSOL_binary,QA_PIXEL_binary,QA_RADSAT_binary
2022-07-24,LANDSAT_9,lightNearShoreSediment,MRB,1,0.059520000000000003,0.10275,0.14779,0.05455,0.01979,0.01704,0.04892,0.059520000000000003,0.10275,0.14779,0.05455,0.01979,0.01704,160,6982,293.07125201,43,1044,9915,46,419,8214,2201,1,0,21952,0,00000000000000001b53,NA,NA,NA,2022-07-24T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.79762718754469,46.693659504301706]}",,,,MODIS,GLS2000,MODIS,Calculated,GEOS-5 FP-IT,,MODIS,NADIR,10100000,0101010111000000,0
2022-07-24,LANDSAT_9,lightNearShoreSediment,MRB,2,0.06126,0.10595,0.15439,0.05091,0.01535,0.01116,0.05125,0.06126,0.10595,0.15439,0.05091,0.01535,0.01116,160,6982,292.81490051,42.5,1044,9915,57,424.5,8190,2201,1,0,21952,0,00000000000000001b54,NA,NA,NA,2022-07-24T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.79803296574055,46.69364612699855]}",,,,MODIS,GLS2000,MODIS,Calculated,GEOS-5 FP-IT,,MODIS,NADIR,10100000,0101010111000000,0
2022-07-24,LANDSAT_9,lightNearShoreSediment,MRB,3,0.06162,0.10341,0.14847,0.04618,0.02194,0.0133,0.05206,0.06162,0.10341,0.14847,0.04618,0.02194,0.0133,128,6983,292.61836436,41.5,1043,9915,57,429.5,8171.5,2200,1,0,21952,0,00000000000000001b55,NA,NA,NA,2022-07-24T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.79874196280807,46.693659504301706]}",,,,MODIS,GLS2000,MODIS,Calculated,GEOS-5 FP-IT,,MODIS,NADIR,10000000,0101010111000000,0
2022-07-24,LANDSAT_9,lightNearShoreSediment,MRB,4,0.042659999999999997,0.07357,0.08508,0.02578,0.01909,0.01505,0.0344,0.042659999999999997,0.07357,0.08508,0.02577,0.01909,0.01505,160,6982,291.80829362,40.5,1044,9915,77,436.5,8096,2201,1,0,21952,0,00000000000000001b56,NA,NA,NA,2022-07-24T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.79857251696802,46.694216891933394]}",,,,MODIS,GLS2000,MODIS,Calculated,GEOS-5 FP-IT,,MODIS,NADIR,10100000,0101010111000000,0
2022-07-24,LANDSAT_9,lightNearShoreSediment,MRB,5,0.03999,0.07043,0.0791,0.02373,0.01708,0.01486,0.03239,0.03999,0.07043,0.0791,0.02373,0.01708,0.01486,160,6982,291.51263488999996,39.5,1044,9915,34,440.5,8068.5,2201,1,0,21952,0,00000000000000001b57,NA,NA,NA,2022-07-24T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.79947325538082,46.69413216901338]}",,,,MODIS,GLS2000,MODIS,Calculated,GEOS-5 FP-IT,,MODIS,NADIR,10100000,0101010111000000,0
2022-07-24,LANDSAT_9,cloud,MRB,6,0.45872,0.46539,0.471,0.53518,0.50091,0.45747,0.44947,0.45872,0.46539,0.471,0.53518,0.50091,0.45747,128,6945,278.3378768,0,1050,9880,0,694,6897,2216,1,0,22280,0,00000000000000001b58,NA,NA,NA,2022-07-24T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.77758352830945,46.942758266450355]}",,,,MODIS,GLS2000,MODIS,Calculated,GEOS-5 FP-IT,,MODIS,NADIR,10000000,0101011100001000,0
2022-07-24,LANDSAT_9,cloud,MRB,7,0.32591,0.34853,0.34214,0.41413,0.39738,0.37031,0.31648,0.32591,0.34853,0.34214,0.41413,0.39738,0.37031,96,6946,278.47972462999996,0,1050,9880,0,693,6909,2216,1,0,22280,0,00000000000000001b59,NA,NA,NA,2022-07-24T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.77529155036798,46.94201359657443]}",,,,MODIS,GLS2000,MODIS,Calculated,GEOS-5 FP-IT,,MODIS,NADIR,01100000,0101011100001000,0
2022-07-24,LANDSAT_9,cloud,MRB,8,0.16798,0.20825,0.20868,0.26659,0.28547,0.3013,0.1642,0.16798,0.20825,0.20868,0.26659,0.28547,0.3013,224,6947,278.78051039,0,1050,9880,0,692,6934,2215,1,0,22280,0,00000000000000001b5a,NA,NA,NA,2022-07-24T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.7697533468596,46.939186526506546]}",,,,MODIS,GLS2000,MODIS,Calculated,GEOS-5 FP-IT,,MODIS,NADIR,11100000,0101011100001000,0
2022-07-24,LANDSAT_9,cloud,MRB,9,-0.02419,0.06128,0.04949,0.10814,0.12549,0.11349,-0.07153,-0.02419,0.06128,0.04949,0.10814,0.12549,0.11349,224,6946,278.56859314999997,0,1050,9880,0,693,6916,2216,1,0,22280,0,00000000000000001b5b,NA,NA,NA,2022-07-24T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.78074057185529,46.93968594582453]}",,,,MODIS,GLS2000,MODIS,Calculated,GEOS-5 FP-IT,,MODIS,NADIR,11100000,0101011100001000,0
2022-07-24,LANDSAT_9,cloud,MRB,10,0.15486,0.19247,0.19907,0.26525,0.28161,0.26987,0.15145,0.15486,0.19247,0.19907,0.26525,0.28161,0.26987,224,6946,278.29344254,0,1050,9880,0,694,6894,2216,1,0,22280,0,00000000000000001b5c,NA,NA,NA,2022-07-24T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.78119094106168,46.9382902471948]}",,,,MODIS,GLS2000,MODIS,Calculated,GEOS-5 FP-IT,,MODIS,NADIR,11100000,0101011100001000,0
2022-07-24,LANDSAT_9,cloud,MRB,11,0.40101,0.40822,0.41841,0.44801,0.42353,0.41464,0.3869,0.40101,0.40822,0.41841,0.44801,0.42353,0.41464,64,6950,279.7905353,0,1049,9880,0,688,7017,2214,1,0,22280,0,00000000000000001b5d,NA,NA,NA,2022-07-24T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.75052124401608,46.93113784910506]}",,,,MODIS,GLS2000,MODIS,Calculated,GEOS-5 FP-IT,,MODIS,NADIR,01000000,0101011100001000,0
2022-07-24,LANDSAT_9,cloud,MRB,12,-0.02682,0.08311,0.07147,0.10452,0.16814,0.14859,-0.07387,-0.02682,0.08311,0.07147,0.10452,0.16814,0.14859,224,6949,280.44679514,0,1049,9880,0,686,7071,2215,1,0,22280,0,00000000000000001b5e,NA,NA,NA,2022-07-24T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.74683356744488,46.933131067275966]}",,,,MODIS,GLS2000,MODIS,Calculated,GEOS-5 FP-IT,,MODIS,NADIR,11100000,0101011100001000,0
2022-07-24,LANDSAT_9,cloud,MRB,13,0.00284,0.07967,0.08773,0.16479,0.20237,0.17883,0.0067,0.00284,0.07967,0.08773,0.16479,0.20237,0.17883,224,6948,279.44189726,0,1050,9880,0,689,6988,2215,1,0,22280,0,00000000000000001b5f,NA,NA,NA,2022-07-24T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.74683356744488,46.94063127524786]}",,,,MODIS,GLS2000,MODIS,Calculated,GEOS-5 FP-IT,,MODIS,NADIR,11100000,0101011100001000,0
2022-07-24,LANDSAT_9,cloud,MRB,14,0.12832,0.1559,0.14957,0.18152,0.19093,0.17245,0.11881,0.12832,0.1559,0.14957,0.18152,0.19093,0.17245,224,6948,279.04198892,0,1050,9880,0,691,6956,2215,1,0,22280,0,00000000000000001b60,NA,NA,NA,2022-07-24T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.74949119167275,46.94063127524786]}",,,,MODIS,GLS2000,MODIS,Calculated,GEOS-5 FP-IT,,MODIS,NADIR,11100000,0101011100001000,0
2022-07-24,LANDSAT_9,cloud,MRB,15,0.25152,0.27604,0.27373,0.31875,0.32946,0.31769,0.2286,0.25152,0.27604,0.27373,0.31875,0.32946,0.31769,224,6949,277.67819894,0,1049,9880,0,696,6845,2215,1,0,22280,0,00000000000000001b61,NA,NA,NA,2022-07-24T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.76992279269963,46.92873439363727]}",,,,MODIS,GLS2000,MODIS,Calculated,GEOS-5 FP-IT,,MODIS,NADIR,11100000,0101011100001000,0
2022-07-24,LANDSAT_9,cloud,MRB,16,0.62451,0.59041,0.59362,0.59648,0.33427,0.21294,0.62368,0.62451,0.59041,0.59362,0.59648,0.33427,0.21294,112.5,6974,272.85537272,0,1045,9880,0,712,6471,2203,1,0,22280,0,00000000000000001b62,NA,NA,NA,2022-07-24T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.98416030281244,46.713395485564256]}",,,,MODIS,GLS2000,MODIS,Calculated,GEOS-5 FP-IT,,MODIS,NADIR,01110000,0101011100001000,0
2022-07-24,LANDSAT_9,cloud,MRB,17,0.26755,0.32412,0.32742,0.45488,0.41319,0.38462,0.26907,0.26755,0.32412,0.32742,0.45488,0.41319,0.38462,224,6977,275.4838301,0,1045,9880,0,701,6676,2202,1,0,22280,0,00000000000000001b63,NA,NA,NA,2022-07-24T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.90038717132136,46.69126050793495]}",,,,MODIS,GLS2000,MODIS,Calculated,GEOS-5 FP-IT,,MODIS,NADIR,11100000,0101011100001000,0
