date,mission,class,vol_init,user_label_id,B2,B3,B4,B5,B6,B7,B8,B11,B12,SR_B1,SR_B11,SR_B12,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_B8,SR_B8A,SR_B9,cirrus,opaque_cloud,QA10,QA20,QA60,MSK_CLDPRB,MSK_SNWPRB,system:index,AOT,SCL,TCI_B,TCI_G,TCI_R,WVP,system:time_start,.geo,AOT_RETRIEVAL_ACCURACY,CLOUDY_PIXEL_PERCENTAGE,CLOUD_COVERAGE_ASSESSMENT,CLOUD_SHADOW_PERCENTAGE,DARK_FEATURES_PERCENTAGE,HIGH_PROBA_CLOUDS_PERCENTAGE,MEDIUM_PROBA_CLOUDS_PERCENTAGE,NODATA_PIXEL_PERCENTAGE,SATURATED_DEFECTIVE_PIXEL_PERCENTAGE,SNOW_ICE_PERCENTAGE,THIN_CIRRUS_PERCENTAGE,WATER_VAPOUR_RETRIEVAL_ACCURACY,GENERAL_QUALITY,GEOMETRIC_QUALITY,RADIOMETRIC_QUALITY,QA10_binary,QA20_binary,QA60_binary
2021-08-29,Sentinel-2B,openWater,ANK,1,0.0286,0.0217,0.011,0.0111,0.0107,0.0099,0.0084,56,53,0.0252,0.0056,0.0053,0.0286,0.0217,0.011,0.0111,0.0107,0.0099,0.0084,0.009,0.0067,0,0,0,0,0,0,0,00000000000000000322,105,6,29,23,12,2074,2021-08-29T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.7150223405296,46.84558553629366]}",,,,,,,,,,,,,PASSED,PASSED,PASSED,0,0,000000000000
2021-08-29,Sentinel-2B,openWater,ANK,2,0.0277,0.0192,0.0106,0.0099,0.0095,0.0096,0.008,45,38,0.025,0.0045,0.0038,0.0277,0.0192,0.0106,0.0099,0.0095,0.0096,0.008,0.0093,0.007,0,0,0,0,0,0,0,00000000000000000323,105,6,29,20,12,2074,2021-08-29T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.79673090823296,46.83267197964288]}",,,,,,,,,,,,,PASSED,PASSED,PASSED,0,0,000000000000
2021-08-29,Sentinel-2B,openWater,ANK,3,0.0301,0.0213,0.0115,0.0114,0.01,0.0106,0.0086,56,45,0.0262,0.0056,0.0045,0.0301,0.0213,0.0115,0.0114,0.01,0.0106,0.0086,0.0092,0.0075,0,0,0,0,0,0,0,00000000000000000324,102,6,31.5,22,12,2073,2021-08-29T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.69819815225495,46.88338087682267]}",,,,,,,,,,,,,PASSED,PASSED,PASSED,0,0,000000000000
2021-08-29,Sentinel-2B,openWater,ANK,4,0.032,0.0225,0.0128,0.0112,0.0114,0.0106,0.0088,55,54.5,0.0289,0.0055,0.0054,0.0319,0.0224,0.0128,0.0112,0.0114,0.0106,0.0089,0.0094,0.0078,0,0,0,0,0,0,0,00000000000000000325,96.25,6,33,23,13.5,2162.75,2021-08-29T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.62060533482394,46.89065367064084]}",,,,,,,,,,,,,PASSED,PASSED,PASSED,0,0,000000000000
2021-08-29,Sentinel-2B,openWater,ANK,5,0.0297,0.0203,0.0112,0.0101,0.0115,0.0118,0.0088,42,33,0.0261,0.0042,0.0033,0.0297,0.0203,0.0112,0.0101,0.0115,0.0118,0.0088,0.0083,0.0103,0,0,0,0,0,0,0,00000000000000000326,105,6,31,21,13,2074,2021-08-29T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.92146088289994,46.80051294284543]}",,,,,,,,,,,,,PASSED,PASSED,PASSED,0,0,000000000000
2021-08-29,Sentinel-2B,openWater,ANK,6,0.0307,0.0231,0.0123,0.0121,0.0108,0.0098,0.0086,42,32,0.0335,0.0042,0.0032,0.0307,0.0231,0.0123,0.0121,0.0108,0.0098,0.0086,0.008,0.0073,0,0,0,0,0,0,0,00000000000000000327,90.5,6,31.5,24,13,2252.5,2021-08-29T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.46093384430215,46.93499943061735]}",,,,,,,,,,,,,PASSED,PASSED,PASSED,0,0,000000000000
2021-08-29,Sentinel-2B,openWater,ANK,7,0.029,0.0216,0.0114,0.0104,0.0098,0.0088,0.0083,37,32,0.0301,0.0037,0.0032,0.029,0.0216,0.0114,0.0104,0.0098,0.0088,0.0083,0.0072,0.0062,0,0,0,0,0,0,0,00000000000000000328,90.5,6,30,22.5,12,2252.5,2021-08-29T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.38677453468229,46.91999455557251]}",,,,,,,,,,,,,PASSED,PASSED,PASSED,0,0,000000000000
2021-08-29,Sentinel-2B,openWater,ANK,8,0.0322,0.0241,0.0129,0.0122,0.0107,0.0099,0.0096,40,38,0.0339,0.004,0.0038,0.0322,0.0241,0.0129,0.0122,0.0107,0.0099,0.0096,0.0083,0.007,0,0,0,0,0,0,0,00000000000000000329,88,6,33,25,14,2326,2021-08-29T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.38780458702564,46.960313747297775]}",,,,,,,,,,,,,PASSED,PASSED,PASSED,0,0,000000000000
2021-08-29,Sentinel-2B,openWater,ANK,9,0.0355,0.025,0.0152,0.0142,0.0119,0.0125,0.0102,60,50,0.0376,0.006,0.005,0.0355,0.025,0.0152,0.0142,0.0119,0.0125,0.0102,0.0089,0.0065,0,0,0,0,0,0,0,0000000000000000032a,88,6,37,26,16,2326,2021-08-29T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.2442304513068,47.09842548422615]}",,,,,,,,,,,,,PASSED,PASSED,PASSED,0,0,000000000000
2021-08-29,Sentinel-2B,openWater,ANK,10,0.0348,0.0248,0.0153,0.0159,0.0124,0.0134,0.0109,84,54,0.0334,0.0084,0.0054,0.0348,0.0248,0.0153,0.0159,0.0124,0.0134,0.0109,0.0124,0.0099,0,0,0,0,0,0,0,0000000000000000032b,88,6,36,26,16,2326,2021-08-29T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.04544818544524,47.11571787811141]}",,,,,,,,,,,,,PASSED,PASSED,PASSED,0,0,000000000000
